Tag,1838.7.12,1839.10.10,1839.12.11,1841.11.26,1844.4.28,1848.2.6,1848.5.22,1852.6.19,1852.12.23,1854.8.9,1857.7.27,1858.3.30,1860.1.3,1861.6.14,1868.2.1,1868.4.11,1868.4.15,1871.1.7,1873.5.13,1873.7.4,1875.4.25,1878.7.12,1880.5.18,1880.7.13,1881.7.7,1883.4.29,1883.7.2,1886.3.21,1888.2.7,1890.6.7,1890.11.17,
AUS,2211,2044,2093,1693,2194,494,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRZ,0,0,0,0,0,0,0,0,0,0,0,0,0,3378,17521,17012,17067,20642,31110,32743,42998,62911,69237,71972,69021,26255,71999,71675,66665,27114,0,
CHI,2788,4944,5075,5369,4887,3218,3378,10813,61326,140161,492286,158281,481939,575873,835202,773910,752210,939047,1048323,1059003,1062004,1123836,1178419,1182077,1207650,1212709,1211715,1216382,1295955,1376882,0,
COM,132,144,149,170,178,3823,3965,22732,20613,17251,11420,12463,14839,14428,13990,12336,12846,37556,16072,21333,44052,42912,52555,59321,52985,67832,84904,74548,98863,211179,0,
DNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157896,152448,152460,199634,217583,227919,170763,279600,292961,306942,258884,274250,271523,339597,381866,368174,0,
ENG,55362,75166,75757,77777,73521,76297,87570,162640,161352,180413,194570,198880,400445,423815,741751,739093,738946,808221,839963,846016,820699,851097,898193,901238,922470,964722,962820,1046255,1070573,1107925,0,
FRA,12715,42362,48065,100661,138488,83639,79913,188978,209134,243687,246421,271523,196258,232595,350642,366802,365640,345723,400544,400798,331922,308676,352322,353811,375651,417161,450423,481857,496564,501938,0,
GER,0,0,0,0,0,0,0,0,0,0,0,0,193765,234121,325214,321684,320871,356538,430972,430314,423537,435602,487152,490309,403007,417270,417152,503751,556126,607785,0,
IBR,0,0,0,0,0,4538,7516,29389,41455,58571,85340,92168,90983,95986,111015,117367,117371,123133,194522,195617,226152,276555,314495,321988,331140,394216,404070,421110,464954,453405,0,
INC,0,0,0,0,0,0,0,9218,11243,12572,17113,18181,19165,20900,99700,84351,82380,95491,128706,115453,122874,138182,140827,142643,142872,144336,145219,148164,151205,212171,0,
ITA,0,0,0,0,0,0,0,0,0,0,0,34371,33735,34346,73553,141108,141086,161226,220593,222554,237980,138184,174366,177714,197358,74313,60296,0,0,0,0,
JAP,1285,1241,2147,17548,17597,30960,32549,44484,110399,195327,211198,208987,207564,138199,231354,218183,216647,228139,242682,243180,225170,267428,319604,314244,332683,324733,321168,382167,396275,461975,0,
KUK,0,0,0,0,0,0,0,15185,17027,29321,61687,50354,58984,72331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LPL,0,0,0,0,0,0,0,0,0,2,9916,9813,10308,10428,29406,39348,31065,77132,81905,97793,76778,99625,111857,115045,120572,103725,121464,103489,112205,88717,0,
MEX,343,368,366,541,680,753,1013,2072,2196,2322,886,968,1355,1760,1422,1422,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NET,2924,5123,5129,5167,9188,17245,17314,110155,109748,118120,111662,118801,130201,150099,170208,180327,179836,166799,205771,205016,187799,199894,214337,197464,208166,197398,202944,197090,211386,231096,0,
NGF,0,0,0,0,15850,47075,125502,134175,148804,197677,184067,194240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PER,0,0,0,0,0,0,0,105,117,585,11551,39876,52295,25169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRU,4901,4879,6496,9911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUS,1156,1189,1190,1607,14434,13468,12930,16805,23379,23300,46546,70459,122406,231432,343317,325506,320925,322028,388127,406455,630801,741835,772322,764149,677022,465685,513916,619938,700554,786170,0,
SCA,4971,4730,5137,5467,32777,32419,32096,34388,56966,65659,65174,73310,100805,106586,278688,269585,269134,278750,286639,297142,302437,311948,346426,367555,374811,377264,395748,387541,440689,477389,0,
SIA,0,0,2971,6353,4880,8259,8538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SIC,0,0,0,0,0,0,0,8793,12584,18132,27588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPC,400,400,400,400,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49305,45995,35742,85419,91466,91647,62533,97295,83946,80930,106793,107847,131176,115934,139101,146729,0,
TUR,173,399,397,373,345,299,295,218,205,173,139,135,127,119,172758,190878,191390,281454,326841,324012,313919,367466,434312,435525,440466,513021,520846,594004,625302,670664,0,
USA,7507,35382,35364,62868,48551,69462,62407,101205,91707,117108,137381,140701,165784,157516,264146,229923,221773,277786,275778,337433,264280,435935,491295,491925,529099,462507,554390,491953,621700,582137,0,
