Tag,1838.7.12,1839.10.10,1839.12.11,1841.11.26,1844.4.28,1848.2.6,1848.5.22,1852.6.19,1852.12.23,1854.8.9,1857.7.27,1858.3.30,1860.1.3,1861.6.14,1868.2.1,1868.4.11,1868.4.15,1871.1.7,1873.5.13,1873.7.4,1875.4.25,1878.7.12,1880.5.18,1880.7.13,1881.7.7,1883.4.29,1883.7.2,1886.3.21,1888.2.7,1890.6.7,1890.11.17,
ARC,829403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,8565910,9117198,9128404,9953277,10135067,6911740,5993719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRZ,1750151,1693694,1694219,1717687,2228144,2088036,2088664,2166861,2178388,2229757,2317997,2340939,2403262,2461072,2533763,2537999,2538508,2714046,2885357,2871814,3032244,3303151,3462595,3476287,3565768,3738475,3756185,4052913,4266097,4531780,0,
CHI,26795729,26890914,26902075,27048036,27182311,26971305,26988709,28951321,28990160,29311750,29948579,6184438,26983220,32026814,35260031,35213057,35207913,37818211,38868459,38921103,39423643,39916117,40612648,40671422,41072706,41795331,41843016,42327527,43058378,44219421,0,
COM,772173,804589,810628,849842,914747,1123188,1137715,1288701,1312607,1424821,1284631,1312939,1389161,1223896,1646274,1890239,1890895,2344006,2390724,2406449,2999951,9214659,9733432,9762768,9951616,10232443,10247647,10670540,10969067,11314928,0,
DNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9136090,9160903,9162118,11458832,11819282,11840199,11864569,13779558,14076699,14107853,14308496,15408621,15260149,16406935,16939149,17627746,0,
ENG,7518702,7592817,7601446,7918796,8005397,7334017,7323359,7367793,7367053,7483776,45881060,46127550,46790271,47345303,51428911,51927578,51935127,53770317,55353585,55451567,56517562,62390709,63966978,64069358,64727886,66063845,66189004,68139094,69470780,71158536,0,
ETH,0,0,0,0,1769405,2367873,2368641,1061984,1064472,1075535,1095861,1100695,1113147,1123162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,9103770,8798985,8805460,9266404,10240485,9898389,9869503,10135428,10172399,10307151,10342446,10256867,8815385,8923455,9972777,9982121,9979354,8760457,8979561,8993588,8760026,8577705,8757679,8770855,9346501,10110870,10907976,11167701,11375408,11736275,0,
GER,0,0,0,0,0,0,0,0,0,0,0,0,10341346,10643982,11792696,11820597,11819577,12561025,13204825,13243237,13610634,14177139,14704194,14740658,14720190,15791231,15576278,16353388,16911009,17667032,0,
GON,675741,1115323,1117356,1142528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,4895578,4906795,5718317,5956300,6035989,6140446,5979473,5970217,5960247,7183976,7197801,7198430,10946606,11230570,11247664,12767780,15023859,15330959,15357310,15332269,15655497,16280709,15613598,15946945,16295064,0,
INC,0,0,0,0,0,0,0,4315610,4325313,4369362,4494289,4527972,4609984,4690731,5108381,5117942,5117428,5293431,5456557,5466446,5595468,5830832,5943972,5953649,6014329,6129352,6141480,6348422,6503388,6683604,0,
ITA,0,0,0,0,0,0,0,0,0,0,0,5524134,5305108,5394230,5849318,5859331,5860301,5877236,6041323,6053091,5899560,3532562,3580690,3585296,3616613,1244014,646941,0,0,0,0,
